Number,Name,Address,image_file
1,Crempog Mon Anglesey,"Lon P Y Cudyn, Benllech, Tyn-y-Gongl, LL74 8TL",img001.pdf
2,Llygad Yr Haul,"90 High Street, Llanberis, Caernarfon, LL55 4SU",img001.pdf
3,Llwy A Mwy,"1 Water Street, Penygroes, Caernarfon, LL54 6LR",img001.pdf
4,Siop A Caffi Traeth Becws Islyn,"Nefyn, Pwllheli, LL53 6ED",img001.pdf
5,Mor A Mynydd,"Canolfan Fenter Congl Meinciau, Botwnnog, Pwllheli, LL53 8RA",img001.pdf
6,Caffi Siabod,"Eisteddfa Fishery, Pentrefelin, Criccieth, LL52 0PT",img001.pdf
7,Siop A Chaffi Llanfrothen,"Llanfrothen, Penrhyndeudreath, LL48 6AQ",img001.pdf
8,Y Gegin Gefn,"Prysor Service Station, Blaenau Ffestiniog, LL41 4TW",img001.pdf
9,Lakeside Cafe,"Power Station, A496, Blaenau Ffestiniog, LL41 3TP",img001.pdf
10,Conwy Falls Cafe,"Pentrefoelas, Betws-y-Coed, LL24 0PN",img001.pdf
11,Whistlestop Café,"HTM Business Park, Abergele Road, Rhyl, LL18 5UZ",img001.pdf
12,Billy Jeans Café,"Unit 2, The Haven, The Nant, Holywell, CH8 8BD",img001.pdf
13,Chocks Away Diner,"Aviation Park, Flint Road, Chester, CH4 0GZ",img002.pdf
14,Old Stores Motorbike Cafe,"Pontblyddyn, Mold, CH7 4HR",img002.pdf
15,Chain And Sprocket,"Hen Lon Parcwr, Ruthin, LL15 1LY",img002.pdf
16,Wrexham Miners Project Cafe,"3 Maesgwyn Road, Wrexham, LL11 2AP",img002.pdf
17,Aqueduct Diner,"Holyhead Road, Froncysyllte, Llangollen, LL20 7RA",img002.pdf
18,Rhug Farm Shop,"Rhug Estate, Corwen, LL21 0EH",img002.pdf
19,Bwyd A Ni,"Cental Buildings, Cerrig-y-Druidion, Corwen, LL21 9SW",img002.pdf
20,Caffi Woody's Café,"2 Pensarn Road, Bala, LL23 7YE",img002.pdf
21,Yr Hen Efail,"4 Green Lane, Dolgellau, LL40 1DL",img002.pdf
