Number,Name,Address
178,Ma Baker's Café,"Prees Heath, Whitchurch, SY13 3JT"
179,Dragon Soul Biker Café,"Forton Road, Newport, TF10 7JR"
180,Crust & Crumbs,"Dale End, Coalbrookdale, Telford, TF8 7DS"
181,Allscott Cafe,"Shawbirch Road, Telford, TF6 5EQ"
182,Fast-Trak Diner,"14 Yeomanry Road, Shrewsbury, SY1 3EH"
183,The Montford Bridge Café,"Montford Bridge, Shrewsbury, SY4 1EB"
184,The Little Cafe,"54 High Street, Church Stretton, SY6 6BX"
185,Herbie's,"New Street, Bishops Castle, SY9 5DQ"
186,Laila's Cafe,"Next to Harry Tuffins Supermarket, Craven Arms, SY7 9QD"
187,Cross On The Hill,"Cleehill, Ludlow, SY8 3LZ"
188,Mr Thoms,"25A Terme Street, Tenbury Wells, WR15 8AE"
189,Barons Cross Inn & Campsite,"Barons Cross Road, Leominster, HR6 8RS"
